name,file
cornerstone-mask,cornerstone-mask.png
hearthflame-mask,hearthflame-mask.png
wellspring-mask,wellspring-mask.png
fairy-feather,fairy-feather.png
lustrous-globe,lustrous-globe.png
adamant-crystal,adamant-crystal.png
griseous-core,griseous-core.png
raichunite-x,raichunite-x.png
raichunite-y,raichunite-y.png
clefablite,clefablite.png
victreebelite,victreebelite.png
starminite,starminite.png
dragoninite,dragoninite.png
meganiumite,meganiumite.png
feraligite,feraligite.png
skarmorite,skarmorite.png
chimechite,chimechite.png
absolite-z,absolite-z.png
staraptite,staraptite.png
garchompite-z,garchompite-z.png
lucarionite-z,lucarionite-z.png
froslassite,froslassite.png
emboarite,emboarite.png
excadrite,excadrite.png
scolipite,scolipite.png
scraftinite,scraftinite.png
eelektrossite,eelektrossite.png
chandelurite,chandelurite.png
golurkite,golurkite.png
delphoxite,delphoxite.png
chesnaughtite,chesnaughtite.png
greninjite,greninjite.png
pyroarite,pyroarite.png
floettite,floettite.png
meowsticite,meowsticite.png
malamarite,malamarite.png
barbaracite,barbaracite.png
dragalgite,dragalgite.png
hawluchanite,hawluchanite.png
crabominite,crabominite.png
golisopite,golisopite.png
drampanite,drampanite.png
falinksite,falinksite.png
scovillainite,scovillainite.png
glimmoranite,glimmoranite.png
baxcalibrite,baxcalibrite.png
heatranite,heatranite.png
darkranite,darkranite.png
zygardite,zygardite.png
magearnite,magearnite.png
zeraorite,zeraorite.png
tatsugirinite,tatsugirinite.png
